iter	Passed	Remaining
401	14973	3650
402	15007	3612
403	15041	3574
404	15076	3536
405	15109	3498
406	15144	3460
407	15181	3423
408	15215	3385
409	15250	3347
410	15284	3309
411	15319	3272
412	15360	3235
413	15394	3197
414	15428	3160
415	15463	3122
416	15496	3084
417	15548	3050
418	15584	3012
419	15618	2974
420	15653	2937
421	15689	2899
422	15724	2862
423	15759	2824
424	15796	2787
425	15830	2749
426	15864	2712
427	15898	2674
428	15931	2636
429	15964	2598
430	15999	2561
431	16032	2523
432	16066	2486
433	16099	2448
434	16133	2410
435	16167	2373
436	16203	2335
437	16239	2298
438	16274	2261
439	16309	2224
440	16351	2187
441	16385	2150
442	16418	2112
443	16452	2075
444	16486	2037
445	16519	2000
446	16553	1962
447	16588	1925
448	16624	1888
449	16668	1852
450	16703	1814
451	16737	1777
452	16776	1740
453	16811	1703
454	16844	1665
455	16879	1628
456	16912	1591
457	16945	1553
458	16983	1517
459	17017	1479
460	17052	1442
461	17088	1405
462	17123	1368
463	17159	1331
464	17192	1294
465	17227	1256
466	17261	1219
467	17295	1182
468	17337	1145
469	17372	1108
470	17408	1071
471	17458	1035
472	17519	1000
473	17585	964
474	17627	927
475	17662	890
476	17695	853
477	17730	816
478	17769	779
479	17804	741
480	17840	704
481	17875	667
482	17909	630
483	17944	593
484	17978	556
485	18012	518
486	18047	481
487	18081	444
488	18115	407
489	18149	370
490	18185	333
491	18221	296
492	18257	259
493	18293	222
494	18334	185
495	18367	148
496	18401	111
497	18434	74
498	18468	37
499	18512	0
