iter	Logloss	Accuracy
0	0.5972264899	0.9246231156
1	0.5080543473	0.9472361809
2	0.4348244188	0.9547738693
3	0.3876195077	0.959798995
4	0.3474789412	0.9623115578
5	0.3138586316	0.9623115578
6	0.283109128	0.9648241206
7	0.2546124104	0.9748743719
8	0.2242994352	0.9798994975
9	0.205826775	0.9748743719
10	0.1867939936	0.9798994975
11	0.1727247364	0.9824120603
12	0.1622115319	0.9849246231
13	0.1524807424	0.9824120603
14	0.1432086324	0.9824120603
15	0.1373258137	0.9824120603
16	0.131828559	0.9824120603
17	0.1244974025	0.9849246231
18	0.1166806638	0.9849246231
19	0.1131697163	0.9849246231
20	0.1082750659	0.9849246231
21	0.1061789715	0.9874371859
22	0.1018913707	0.9874371859
23	0.0982466971	0.9874371859
24	0.09503499509	0.9874371859
25	0.09237667025	0.9874371859
26	0.09014394672	0.9874371859
27	0.08550071644	0.9874371859
28	0.08337809996	0.9874371859
29	0.08049548129	0.9874371859
30	0.07789860191	0.9874371859
31	0.07569136952	0.9874371859
32	0.07335945147	0.9874371859
33	0.07171679307	0.9874371859
34	0.06986573966	0.9899497487
35	0.06861451961	0.9899497487
36	0.06714517189	0.9899497487
37	0.06449983123	0.9899497487
38	0.06268170734	0.9899497487
39	0.06146099707	0.9899497487
40	0.05904633328	0.9899497487
41	0.05773544436	0.9899497487
42	0.05534262369	0.9899497487
43	0.05426370806	0.9899497487
44	0.05319603651	0.9899497487
45	0.05207304321	0.9899497487
46	0.05130934987	0.9899497487
47	0.050757187	0.9899497487
48	0.04998618857	0.9899497487
49	0.04861546813	0.9899497487
50	0.0473386591	0.9899497487
51	0.04589564304	0.9899497487
52	0.04476287316	0.9899497487
53	0.04397843694	0.9899497487
54	0.04354553042	0.9899497487
55	0.04211040073	0.9899497487
56	0.04082015652	0.9899497487
57	0.03887141909	0.9899497487
58	0.03724451884	0.9899497487
59	0.03621108781	0.9899497487
60	0.0353131326	0.9899497487
61	0.03460244452	0.9924623116
62	0.03419454906	0.9899497487
63	0.0330293916	0.9924623116
64	0.03228600382	0.9924623116
65	0.03146856743	0.9949748744
66	0.03084331595	0.9949748744
67	0.02989369051	0.9974874372
68	0.02943809975	1
69	0.02901065122	1
70	0.02842116864	1
71	0.02784782892	1
72	0.02745377321	1
73	0.02667794935	1
74	0.02626594951	1
75	0.02550514593	1
76	0.02476298061	1
77	0.02410192335	1
78	0.02361638731	1
79	0.02311328513	1
80	0.02291604803	1
81	0.02236809944	1
82	0.02192016	1
83	0.02142560897	1
84	0.02089969685	1
85	0.02052273054	1
86	0.02002817282	1
87	0.01973459692	1
88	0.01943945479	1
89	0.01900745802	1
90	0.018577814	1
91	0.01832459968	1
92	0.017870956	1
93	0.01763022091	1
94	0.01728373301	1
95	0.01681800925	1
96	0.01646941645	1
97	0.01627921993	1
98	0.01608478971	1
99	0.01579119279	1
100	0.01557004557	1
101	0.0153523818	1
102	0.01505193906	1
103	0.01486409709	1
104	0.01463912035	1
105	0.01439275663	1
106	0.01403364485	1
107	0.01379848589	1
108	0.0134855727	1
109	0.01316291958	1
110	0.01290477976	1
111	0.01266859748	1
112	0.0124345972	1
113	0.01226903562	1
114	0.01207341486	1
115	0.01188259477	1
116	0.0116331786	1
117	0.01142680037	1
118	0.01130046934	1
119	0.01109614663	1
120	0.01100573882	1
121	0.01082828691	1
122	0.01064637063	1
123	0.010477275	1
124	0.01023876047	1
125	0.01002142892	1
126	0.009793357809	1
127	0.009645191245	1
128	0.009538292091	1
129	0.009298844597	1
130	0.009167544829	1
131	0.009045209935	1
132	0.008961311259	1
133	0.008815802911	1
134	0.008662304063	1
135	0.008530574095	1
136	0.00842681651	1
137	0.008320134375	1
138	0.008224326564	1
139	0.008113640011	1
140	0.008016649941	1
141	0.007905850694	1
142	0.00780249612	1
143	0.007666733729	1
144	0.007581614642	1
145	0.007520023435	1
146	0.007399506899	1
147	0.007299539522	1
148	0.007207464243	1
149	0.007126927526	1
150	0.007071331575	1
151	0.006994122898	1
152	0.006901714487	1
153	0.006786746037	1
154	0.006714758569	1
155	0.006630742292	1
156	0.00656176878	1
157	0.006495043894	1
158	0.006402155531	1
159	0.006357510554	1
160	0.006288565967	1
161	0.006236765864	1
162	0.006186790306	1
163	0.00611304037	1
164	0.006075102859	1
165	0.005998400075	1
166	0.005948788152	1
167	0.005888436568	1
168	0.005836382864	1
169	0.00575436542	1
170	0.005703255707	1
171	0.005615872874	1
172	0.005561154967	1
173	0.005482846504	1
174	0.005423160798	1
175	0.005362684383	1
176	0.005316596447	1
177	0.005273775632	1
178	0.005234949909	1
179	0.005200851044	1
180	0.005141256668	1
181	0.005077055032	1
182	0.005031717757	1
183	0.005006406132	1
184	0.00495199218	1
185	0.004909145536	1
186	0.004876874544	1
187	0.004825568404	1
188	0.004794214826	1
189	0.004731333615	1
190	0.004692716277	1
191	0.004654135429	1
192	0.00460173796	1
193	0.004563147368	1
194	0.004527909931	1
195	0.004489355138	1
196	0.004461511838	1
197	0.004423106619	1
198	0.004397832271	1
199	0.004359079126	1
200	0.004326962776	1
